week_start,flu_seasonal_index,covid_wave_active,covid_wave_label,respiratory_load_index
2025-01-13,0.0,0,,0.0
2025-01-20,0.0,0,,0.0
2025-01-27,0.0001,0,,0.0001
2025-02-03,0.0001,0,,0.0001
2025-02-10,0.0003,0,,0.0003
2025-02-17,0.0007,0,,0.0007
2025-02-24,0.0015,0,,0.0015
2025-03-03,0.0031,0,,0.0031
2025-03-10,0.006,0,,0.006
2025-03-17,0.0111,0,,0.0111
2025-03-24,0.0198,0,,0.0198
2025-03-31,0.034,0,,0.034
2025-04-07,0.0561,0,,0.0561
2025-04-14,0.0889,0,,0.0889
2025-04-21,0.1353,0,,0.1353
2025-04-28,0.1979,0,,0.1979
2025-05-05,0.278,0,,0.278
2025-05-12,0.3753,0,,0.3753
2025-05-19,0.4868,0,,0.4868
2025-05-26,0.6065,0,,0.6065
2025-06-02,0.7261,0,,0.7261
2025-06-09,0.8353,0,,0.8353
2025-06-16,0.9231,0,,0.9231
2025-06-23,0.9802,0,,0.9802
2025-06-30,1.0,0,,1.0
2025-07-07,0.9802,0,,0.9802
2025-07-14,0.9231,0,,0.9231
2025-07-21,0.8353,0,,0.8353
2025-07-28,0.7261,0,,0.7261
2025-08-04,0.6065,0,,0.6065
2025-08-11,0.4868,0,,0.4868
2025-08-18,0.3753,0,,0.3753
2025-08-25,0.278,0,,0.278
2025-09-01,0.1979,0,,0.1979
2025-09-08,0.1353,0,,0.1353
2025-09-15,0.0889,0,,0.0889
2025-09-22,0.0561,0,,0.0561
2025-09-29,0.034,0,,0.034
2025-10-06,0.0198,0,,0.0198
2025-10-13,0.0111,0,,0.0111
2025-10-20,0.006,0,,0.006
2025-10-27,0.0031,0,,0.0031
2025-11-03,0.0015,0,,0.0015
2025-11-10,0.0007,0,,0.0007
2025-11-17,0.0003,0,,0.0003
2025-11-24,0.0001,0,,0.0001
2025-12-01,0.0001,0,,0.0001
2025-12-08,0.0,0,,0.0
2025-12-15,0.0,0,,0.0
2025-12-22,0.0,0,,0.0
2025-12-29,0.0,0,,0.0
2026-01-05,0.0,0,,0.0
2026-01-12,0.0,0,,0.0
2026-01-19,0.0,0,,0.0
2026-01-26,0.0001,0,,0.0001
